,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,FTr,3PAr,TS%,TRB%,AST%,BLK%,eFG%,TOV%,FT/FGA,Conf_Rk,Conf,region_seed,qual_for_ncaa,final_four,ncaa_champ,season
84,Georgia Southern,28,19,9,0.679,-1.55,-4.87,12.0,6.0,7.0,2.0,6.0,6.0,2216.0,2110.0,0.319,0.254,0.53,52.5,53.6,5.2,0.509,18.1,0.201,2.0,Southern,-1,False,False,False,1993
85,Georgia State,27,13,14,0.481,-9.62,-5.22,5.0,7.0,6.0,3.0,2.0,9.0,2060.0,2080.0,0.425,0.189,0.493,48.1,48.5,4.2,0.461,16.3,0.265,5.0,TAAC,-1,False,False,False,1993
86,Georgia Tech,30,19,11,0.633,12.95,10.39,8.0,8.0,9.0,5.0,6.0,5.0,2331.0,2257.0,0.298,0.208,0.557,51.8,65.0,10.2,0.534,18.8,0.204,6.0,ACC,4.0,True,False,False,1993
87,Gonzaga,28,19,9,0.679,1.61,-4.93,10.0,4.0,11.0,0.0,4.0,7.0,2092.0,1833.0,0.524,0.219,0.584,50.5,51.0,6.9,0.549,16.8,0.36,2.0,WCC,-1,False,False,False,1993
88,Grambling,27,13,14,0.481,-11.58,-8.5,5.0,9.0,5.0,5.0,3.0,8.0,2254.0,2268.0,0.377,0.141,0.52,50.9,53.1,7.3,0.496,20.7,0.233,6.0,SWAC,-1,False,False,False,1993
89,Green Bay,27,13,14,0.481,-2.14,-5.33,9.0,7.0,9.0,4.0,4.0,9.0,1785.0,1705.0,0.279,0.261,0.56,52.1,65.3,5.5,0.533,19.1,0.202,5.0,Mid-Cont,-1,False,False,False,1993
90,Hartford,28,14,14,0.5,-5.71,-6.09,7.0,7.0,8.0,4.0,4.0,10.0,2043.0,2024.0,0.436,0.21,0.514,50.9,48.8,11.3,0.473,18.0,0.296,4.0,NAC,-1,False,False,False,1993
91,Harvard,26,6,20,0.231,-16.14,-4.7,3.0,11.0,4.0,8.0,1.0,11.0,1806.0,2076.0,0.365,0.208,0.481,49.5,46.5,8.2,0.453,20.2,0.224,7.0,Ivy,-1,False,False,False,1993
92,Hawaii,28,12,16,0.429,2.48,2.98,7.0,11.0,9.0,8.0,2.0,7.0,1961.0,1965.0,0.382,0.207,0.54,49.5,60.0,6.3,0.503,19.2,0.269,7.0,WAC,-1,False,False,False,1993
94,Holy Cross,30,23,7,0.767,2.59,-5.04,12.0,2.0,13.0,1.0,9.0,4.0,2563.0,2334.0,0.456,0.226,0.562,48.2,60.6,5.9,0.516,16.8,0.336,2.0,Patriot,13.0,True,False,False,1993
95,Houston,30,21,9,0.7,9.8,2.66,9.0,5.0,13.0,1.0,6.0,7.0,2376.0,2161.0,0.425,0.304,0.563,48.8,53.1,11.8,0.534,17.3,0.284,3.0,SWC,-1,False,False,False,1993
96,Howard,28,10,18,0.357,-18.06,-9.91,6.0,10.0,5.0,5.0,2.0,12.0,1928.0,2125.0,0.5,0.22,0.484,48.3,49.3,4.4,0.446,19.9,0.306,8.0,MEAC,-1,False,False,False,1993
97,Idaho,32,24,8,0.75,1.08,-4.85,11.0,3.0,10.0,2.0,6.0,4.0,2384.0,2123.0,0.371,0.211,0.538,57.4,54.4,8.2,0.516,16.7,0.233,1.0,Big Sky,-1,False,False,False,1993
98,Idaho State,28,10,18,0.357,-6.83,-3.16,5.0,9.0,7.0,5.0,1.0,11.0,1994.0,2060.0,0.395,0.336,0.534,46.1,60.4,5.4,0.489,18.4,0.291,5.0,Big Sky,-1,False,False,False,1993
99,Illinois,32,19,13,0.594,11.83,9.27,11.0,7.0,12.0,4.0,4.0,6.0,2429.0,2347.0,0.409,0.235,0.555,52.1,56.6,6.4,0.522,18.1,0.282,4.0,Big Ten,6.0,True,False,False,1993
100,Illinois State,29,19,10,0.655,3.76,0.97,13.0,5.0,11.0,2.0,5.0,7.0,1930.0,1839.0,0.386,0.239,0.552,51.4,59.0,3.3,0.522,19.2,0.262,1.0,MVC,-1,False,False,False,1993
102,Indiana,35,31,4,0.886,25.83,11.09,17.0,1.0,15.0,0.0,9.0,1.0,3028.0,2506.0,0.459,0.225,0.603,52.1,57.6,6.0,0.57,15.2,0.329,1.0,Big Ten,1.0,True,False,False,1993
103,Indiana State,28,11,17,0.393,-0.23,2.29,7.0,11.0,9.0,4.0,2.0,12.0,1882.0,1946.0,0.418,0.274,0.566,48.8,53.2,4.5,0.518,20.6,0.321,8.0,MVC,-1,False,False,False,1993
104,Iona,27,16,11,0.593,-1.01,-1.97,9.0,5.0,9.0,2.0,4.0,8.0,2046.0,2005.0,0.433,0.25,0.557,48.7,65.8,9.2,0.523,19.9,0.297,3.0,MAAC,-1,False,False,False,1993
105,Iowa,32,23,9,0.719,19.75,8.14,11.0,7.0,15.0,1.0,4.0,7.0,2507.0,2093.0,0.478,0.172,0.545,57.4,51.5,11.8,0.5,17.5,0.337,3.0,Big Ten,4.0,True,False,False,1993
106,Iowa State,31,20,11,0.645,18.65,8.05,8.0,6.0,15.0,0.0,3.0,8.0,2520.0,2159.0,0.317,0.279,0.566,48.6,59.5,5.4,0.531,16.6,0.24,3.0,Big 8,8.0,True,False,False,1993
107,Jackson State,34,25,9,0.735,0.73,-3.64,13.0,1.0,8.0,1.0,8.0,5.0,2884.0,2651.0,0.402,0.234,0.538,52.7,47.6,12.2,0.507,19.1,0.267,1.0,SWAC,-1,False,False,False,1993
108,Jacksonville,27,5,22,0.185,-6.43,0.54,3.0,15.0,4.0,10.0,1.0,11.0,1915.0,2099.0,0.409,0.232,0.49,49.9,46.2,7.5,0.46,24.3,0.251,8.0,Sun Belt,-1,False,False,False,1993
109,James Madison,30,21,9,0.7,9.37,0.27,11.0,3.0,13.0,1.0,5.0,7.0,2413.0,2140.0,0.467,0.25,0.604,51.8,43.6,8.2,0.569,18.1,0.34,1.0,CAA,-1,False,False,False,1993
110,Kansas,36,29,7,0.806,22.3,10.88,11.0,3.0,11.0,2.0,7.0,2.0,3037.0,2510.0,0.39,0.245,0.595,51.7,61.9,6.5,0.565,17.0,0.28,1.0,Big 8,2.0,True,True,False,1993
112,Kansas State,30,19,11,0.633,9.85,6.91,7.0,7.0,12.0,3.0,5.0,6.0,2109.0,2009.0,0.331,0.265,0.517,53.7,58.5,3.8,0.488,19.0,0.221,5.0,Big 8,6.0,True,False,False,1993
113,Kent State,27,10,17,0.37,-5.26,-2.26,7.0,11.0,7.0,6.0,2.0,10.0,1742.0,1823.0,0.343,0.278,0.543,48.2,63.7,3.8,0.51,20.5,0.242,8.0,MAC,-1,False,False,False,1993
114,Kentucky,34,30,4,0.882,26.9,9.23,13.0,3.0,16.0,0.0,8.0,3.0,2975.0,2374.0,0.359,0.395,0.582,54.0,63.5,10.7,0.558,17.5,0.247,2.0,SEC,1.0,True,True,False,1993
115,La Salle,27,14,13,0.519,-0.02,2.56,9.0,5.0,7.0,4.0,4.0,6.0,1833.0,1894.0,0.343,0.405,0.489,48.2,56.9,9.4,0.457,16.6,0.223,3.0,MW Coll,-1,False,False,False,1993
116,Lafayette,27,7,20,0.259,-14.39,-6.24,4.0,10.0,4.0,7.0,2.0,12.0,1804.0,2012.0,0.337,0.176,0.498,50.4,46.2,3.8,0.458,18.9,0.239,6.0,Patriot,-1,False,False,False,1993
117,Lamar,27,15,12,0.556,6.56,-1.82,9.0,9.0,9.0,4.0,5.0,7.0,2384.0,2147.0,0.39,0.38,0.55,49.1,60.5,4.5,0.514,16.0,0.275,7.0,Sun Belt,-1,False,False,False,1993
118,Lehigh,27,4,23,0.148,-16.26,-6.53,2.0,12.0,3.0,7.0,1.0,13.0,1994.0,2253.0,0.399,0.165,0.52,47.4,56.2,5.9,0.479,21.5,0.279,8.0,Patriot,-1,False,False,False,1993
119,Liberty,30,16,14,0.533,-9.01,-10.29,9.0,7.0,6.0,3.0,5.0,8.0,2315.0,2127.0,0.392,0.259,0.564,52.8,61.2,6.7,0.535,18.3,0.267,4.0,Big South,-1,False,False,False,1993
120,Little Rock,27,15,12,0.556,-3.32,-0.24,10.0,8.0,9.0,2.0,5.0,7.0,1859.0,1935.0,0.419,0.252,0.527,50.3,53.8,6.7,0.483,21.4,0.298,5.0,Sun Belt,-1,False,False,False,1993
121,Long Beach State,32,22,10,0.688,8.25,2.39,11.0,7.0,11.0,2.0,6.0,7.0,2512.0,2275.0,0.432,0.286,0.573,50.8,62.1,4.7,0.54,18.8,0.3,4.0,Big West,11.0,True,False,False,1993
