,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,FTr,3PAr,TS%,TRB%,AST%,BLK%,eFG%,TOV%,FT/FGA,Conf_Rk,Conf,region_seed,qual_for_ncaa,final_four,ncaa_champ,season
1701,Northwestern State,27,13,14,0.481,-10.06,-7.78,10.0,6.0,8.0,4.0,5.0,9.0,1993.0,1998.0,0.433,0.265,0.534,50.8,59.2,4.8,0.498,20.2,0.292,4.0,Southland,-1,False,False,False,1998
1702,Notre Dame,27,13,14,0.481,5.54,6.28,7.0,11.0,10.0,5.0,3.0,8.0,1896.0,1916.0,0.371,0.304,0.532,52.2,68.0,6.3,0.502,20.6,0.248,5.0,Big East,-1,False,False,False,1998
1703,Ohio,26,5,21,0.192,-11.07,2.43,3.0,15.0,4.0,7.0,1.0,12.0,1663.0,2014.0,0.384,0.275,0.484,50.6,54.7,5.5,0.451,22.9,0.244,6.0,MAC,-1,False,False,False,1998
1704,Ohio State,30,8,22,0.267,1.83,8.73,1.0,15.0,7.0,10.0,1.0,8.0,1978.0,2185.0,0.363,0.274,0.505,47.8,56.9,9.6,0.488,19.4,0.209,11.0,Big Ten,-1,False,False,False,1998
1705,Oklahoma,33,22,11,0.667,9.41,4.19,11.0,5.0,12.0,3.0,6.0,4.0,2462.0,2253.0,0.477,0.278,0.54,53.6,57.5,10.8,0.495,18.3,0.334,2.0,Big 12,10.0,True,False,False,1998
1706,Oklahoma State,29,22,7,0.759,14.3,4.64,11.0,5.0,14.0,2.0,6.0,3.0,2288.0,2008.0,0.404,0.289,0.551,52.0,60.8,4.7,0.515,16.3,0.284,3.0,Big 12,8.0,True,False,False,1998
1707,Old Dominion,28,12,16,0.429,-2.71,-0.67,8.0,8.0,7.0,6.0,4.0,9.0,1738.0,1795.0,0.358,0.324,0.504,51.4,61.4,15.6,0.479,19.6,0.22,4.0,CAA,-1,False,False,False,1998
1708,Oral Roberts,31,19,12,0.613,0.35,-4.93,12.0,4.0,10.0,1.0,7.0,8.0,2485.0,2234.0,0.363,0.361,0.573,50.1,62.8,7.0,0.554,20.2,0.236,2.0,Mid-Cont,-1,False,False,False,1998
1709,Oregon,27,13,14,0.481,5.96,7.19,8.0,10.0,10.0,5.0,3.0,9.0,1859.0,1893.0,0.376,0.34,0.53,50.1,60.9,9.5,0.497,19.6,0.255,6.0,Pac-10,-1,False,False,False,1998
1710,Oregon State,30,13,17,0.433,4.72,6.18,3.0,15.0,7.0,8.0,4.0,8.0,2122.0,2094.0,0.411,0.279,0.528,51.1,55.9,9.7,0.507,20.5,0.248,9.0,Pac-10,-1,False,False,False,1998
1711,Pacific,33,23,10,0.697,8.51,-0.55,14.0,2.0,13.0,2.0,8.0,5.0,2411.0,2086.0,0.474,0.361,0.582,54.2,67.2,10.3,0.567,17.7,0.291,7.0,Big West,-1,False,False,False,1998
1712,Penn State,32,19,13,0.594,10.48,6.42,8.0,8.0,12.0,2.0,6.0,8.0,2334.0,2201.0,0.366,0.36,0.573,48.0,62.5,12.8,0.537,18.7,0.271,7.0,Big Ten,-1,False,False,False,1998
1713,Pennsylvania,29,17,12,0.586,-0.68,-2.89,10.0,4.0,10.0,2.0,5.0,4.0,2080.0,2009.0,0.395,0.338,0.562,48.9,58.0,4.3,0.533,16.4,0.269,2.0,Ivy,-1,False,False,False,1998
1714,Pepperdine,27,17,10,0.63,4.74,0.81,9.0,5.0,10.0,2.0,6.0,7.0,1885.0,1779.0,0.354,0.27,0.54,52.2,58.4,7.8,0.513,18.9,0.236,2.0,WCC,-1,False,False,False,1998
1715,Pittsburgh,27,11,16,0.407,2.66,5.95,6.0,12.0,7.0,6.0,4.0,8.0,1987.0,2076.0,0.295,0.29,0.519,49.7,53.2,11.7,0.491,19.6,0.203,11.0,Big East,-1,False,False,False,1998
1716,Portland,27,14,13,0.519,-3.51,0.05,7.0,7.0,10.0,4.0,4.0,9.0,1822.0,1821.0,0.36,0.278,0.503,47.2,50.8,6.3,0.474,18.7,0.229,6.0,WCC,-1,False,False,False,1998
1718,Prairie View,30,13,17,0.433,-17.11,-6.19,6.0,10.0,8.0,3.0,2.0,13.0,2175.0,2404.0,0.42,0.235,0.462,46.9,40.6,6.2,0.428,18.4,0.253,6.0,SWAC,16.0,True,False,False,1998
1719,Princeton,29,27,2,0.931,11.54,-3.6,14.0,0.0,12.0,0.0,9.0,1.0,1928.0,1491.0,0.319,0.496,0.609,47.6,69.9,8.5,0.594,15.7,0.215,1.0,Ivy,5.0,True,False,False,1998
1720,Providence,29,13,16,0.448,7.08,7.77,7.0,11.0,8.0,6.0,4.0,8.0,1896.0,1916.0,0.401,0.276,0.502,48.0,59.5,7.5,0.458,18.4,0.281,10.0,Big East,-1,False,False,False,1998
1721,Purdue,36,28,8,0.778,20.67,9.23,12.0,4.0,13.0,1.0,8.0,3.0,3014.0,2602.0,0.395,0.297,0.581,47.0,64.3,8.0,0.539,17.7,0.301,3.0,Big Ten,2.0,True,False,False,1998
1722,Radford,30,20,10,0.667,-5.25,-9.38,10.0,2.0,11.0,2.0,5.0,7.0,2271.0,2162.0,0.357,0.372,0.568,50.2,62.9,7.3,0.541,21.0,0.246,2.0,Big South,16.0,True,False,False,1998
1723,Rhode Island,34,25,9,0.735,12.57,6.42,12.0,4.0,12.0,2.0,8.0,4.0,2642.0,2433.0,0.371,0.337,0.549,47.4,55.4,10.3,0.514,15.0,0.263,2.0,A-10,8.0,True,False,False,1998
1724,Rice,28,6,22,0.214,-1.99,5.86,3.0,11.0,4.0,9.0,1.0,10.0,1772.0,1962.0,0.319,0.291,0.486,49.4,62.3,6.7,0.458,18.7,0.203,15.0,WAC,-1,False,False,False,1998
1725,Richmond,31,23,8,0.742,6.34,-1.7,12.0,4.0,13.0,1.0,6.0,6.0,2169.0,1920.0,0.327,0.358,0.555,48.7,56.8,8.4,0.527,14.4,0.228,3.0,CAA,14.0,True,False,False,1998
1726,Rider,28,18,10,0.643,1.26,-3.31,12.0,6.0,10.0,2.0,7.0,7.0,1972.0,1844.0,0.434,0.294,0.557,53.0,59.7,7.7,0.52,21.1,0.302,2.0,MAAC,-1,False,False,False,1998
1727,Robert Morris,27,8,19,0.296,-12.28,-6.13,4.0,12.0,3.0,10.0,5.0,8.0,1702.0,1850.0,0.325,0.228,0.486,51.6,62.0,3.3,0.452,20.6,0.218,7.0,NEC,-1,False,False,False,1998
1728,Rutgers,29,14,15,0.483,9.47,6.74,6.0,12.0,10.0,6.0,2.0,8.0,2007.0,1928.0,0.43,0.348,0.542,49.2,64.6,8.8,0.506,20.8,0.294,12.0,Big East,-1,False,False,False,1998
1729,Sacramento State,26,1,25,0.038,-22.34,-1.99,0.0,16.0,1.0,11.0,0.0,14.0,1517.0,2017.0,0.314,0.27,0.46,48.9,51.0,4.8,0.441,22.3,0.174,9.0,Big Sky,-1,False,False,False,1998
1730,Saint Francis (PA),27,17,10,0.63,-4.81,-7.46,10.0,6.0,10.0,5.0,7.0,4.0,1872.0,1799.0,0.445,0.265,0.543,54.5,60.5,8.3,0.496,22.7,0.322,4.0,NEC,-1,False,False,False,1998
1731,Saint Joseph's,28,11,17,0.393,1.56,5.46,3.0,13.0,5.0,6.0,3.0,10.0,1872.0,1981.0,0.348,0.379,0.508,50.2,56.8,6.7,0.474,17.7,0.235,5.0,A-10,-1,False,False,False,1998
1732,Saint Louis,33,22,11,0.667,9.47,5.5,11.0,5.0,13.0,2.0,7.0,4.0,2221.0,2090.0,0.425,0.29,0.518,46.8,59.0,5.9,0.482,18.8,0.282,3.0,CUSA,10.0,True,False,False,1998
1733,Saint Mary's (CA),26,11,15,0.423,-2.68,1.6,7.0,7.0,7.0,2.0,4.0,10.0,1955.0,2058.0,0.417,0.41,0.546,49.0,52.9,3.6,0.501,17.9,0.305,4.0,WCC,-1,False,False,False,1998
1734,Saint Peter's,27,8,19,0.296,-6.18,-2.85,4.0,14.0,7.0,7.0,1.0,11.0,1862.0,1952.0,0.389,0.194,0.499,52.4,52.2,7.1,0.464,19.7,0.254,10.0,MAAC,-1,False,False,False,1998
1735,Sam Houston State,26,9,17,0.346,-10.97,-6.39,7.0,9.0,7.0,3.0,1.0,13.0,1805.0,1924.0,0.371,0.335,0.551,48.1,66.7,5.2,0.511,20.0,0.274,7.0,Southland,-1,False,False,False,1998
1736,Samford,27,14,13,0.519,-9.5,-10.33,9.0,7.0,11.0,1.0,2.0,9.0,1860.0,1808.0,0.431,0.423,0.574,51.0,61.8,6.9,0.535,20.1,0.312,8.0,TAAC,-1,False,False,False,1998
1737,San Diego,28,14,14,0.5,-1.29,0.56,5.0,9.0,9.0,3.0,3.0,10.0,1973.0,1979.0,0.434,0.292,0.569,48.4,59.8,5.3,0.529,20.3,0.315,7.0,WCC,-1,False,False,False,1998
1738,San Diego State,28,13,15,0.464,-1.04,3.44,5.0,9.0,7.0,7.0,5.0,6.0,1939.0,2050.0,0.418,0.362,0.505,47.3,49.3,6.3,0.467,19.8,0.276,14.0,WAC,-1,False,False,False,1998
1739,San Francisco,30,19,11,0.633,7.8,1.31,7.0,7.0,10.0,3.0,6.0,6.0,2197.0,1989.0,0.315,0.296,0.546,54.2,57.4,7.9,0.518,18.7,0.221,5.0,WCC,14.0,True,False,False,1998
1740,San Jose State,26,3,23,0.115,-11.12,4.73,1.0,13.0,3.0,10.0,0.0,13.0,1551.0,1995.0,0.289,0.228,0.446,45.9,59.4,5.5,0.409,18.6,0.196,16.0,WAC,-1,False,False,False,1998
1741,Santa Clara,28,18,10,0.643,5.55,2.26,8.0,6.0,10.0,4.0,6.0,5.0,2050.0,1903.0,0.394,0.288,0.509,51.9,55.1,7.2,0.466,16.2,0.277,3.0,WCC,-1,False,False,False,1998
1742,Seton Hall,30,15,15,0.5,6.24,7.73,9.0,9.0,10.0,4.0,5.0,7.0,2028.0,2061.0,0.293,0.409,0.498,48.6,55.6,6.2,0.464,16.8,0.207,9.0,Big East,-1,False,False,False,1998
1743,Siena,29,17,12,0.586,0.29,-2.95,10.0,8.0,12.0,3.0,4.0,7.0,2417.0,2323.0,0.391,0.348,0.558,48.2,61.2,8.8,0.504,18.3,0.314,3.0,MAAC,-1,False,False,False,1998
1744,South Alabama,28,21,7,0.75,7.57,-2.93,14.0,4.0,10.0,2.0,8.0,4.0,1820.0,1526.0,0.408,0.236,0.556,56.3,63.8,9.1,0.532,21.1,0.263,1.0,Sun Belt,12.0,True,False,False,1998
1745,South Carolina,31,23,8,0.742,12.51,8.77,11.0,5.0,13.0,1.0,5.0,5.0,2211.0,2088.0,0.481,0.32,0.539,51.2,52.9,9.5,0.496,18.6,0.333,2.0,SEC,3.0,True,False,False,1998
1746,South Carolina State,30,22,8,0.733,-5.65,-10.23,16.0,2.0,10.0,2.0,9.0,5.0,2229.0,2101.0,0.462,0.263,0.552,51.1,41.7,10.6,0.515,20.5,0.317,2.0,MEAC,15.0,True,False,False,1998
1747,South Florida,30,17,13,0.567,2.69,3.16,7.0,9.0,9.0,6.0,6.0,5.0,1974.0,1988.0,0.421,0.321,0.481,48.7,56.5,7.8,0.439,17.9,0.276,10.0,CUSA,-1,False,False,False,1998
1748,Southeast Missouri State,27,14,13,0.519,-6.61,-5.53,10.0,8.0,9.0,4.0,5.0,9.0,1976.0,1939.0,0.342,0.373,0.551,47.8,58.5,6.1,0.521,16.8,0.24,5.0,OVC,-1,False,False,False,1998
1749,Southeastern Louisiana,26,6,20,0.231,-18.73,-8.9,2.0,14.0,4.0,8.0,2.0,12.0,2065.0,2230.0,0.284,0.37,0.531,48.7,56.9,5.1,0.509,19.5,0.188,10.0,Southland,-1,False,False,False,1998
1750,Southern,27,14,13,0.519,-7.83,-11.14,10.0,6.0,10.0,1.0,4.0,11.0,2333.0,2169.0,0.444,0.26,0.533,48.1,44.7,6.6,0.501,16.7,0.289,4.0,SWAC,-1,False,False,False,1998
1751,Southern California,28,9,19,0.321,2.12,7.48,5.0,13.0,6.0,7.0,3.0,12.0,2101.0,2251.0,0.317,0.346,0.518,48.9,51.6,10.5,0.495,19.3,0.202,8.0,Pac-10,-1,False,False,False,1998
1752,Southern Illinois,32,14,18,0.438,1.8,2.32,8.0,10.0,7.0,6.0,5.0,9.0,2266.0,2258.0,0.307,0.345,0.52,56.0,54.9,5.5,0.493,18.7,0.205,8.0,MVC,-1,False,False,False,1998
1753,Southern Methodist,28,18,10,0.643,5.82,0.63,6.0,8.0,13.0,4.0,4.0,5.0,2141.0,1967.0,0.384,0.337,0.519,52.3,48.5,7.6,0.482,14.8,0.263,13.0,WAC,-1,False,False,False,1998
1754,Southern Mississippi,33,22,11,0.667,8.92,2.42,9.0,7.0,10.0,3.0,6.0,6.0,2283.0,2057.0,0.45,0.211,0.548,51.8,58.8,9.1,0.509,18.6,0.311,9.0,CUSA,-1,False,False,False,1998
1755,Southern Utah,27,7,20,0.259,-13.89,-5.41,4.0,12.0,6.0,7.0,1.0,12.0,1861.0,2052.0,0.392,0.312,0.498,45.8,53.7,10.6,0.455,19.4,0.272,7.0,Mid-Cont,-1,False,False,False,1998
1756,St. Bonaventure,32,17,15,0.531,4.11,3.42,6.0,10.0,10.0,3.0,3.0,10.0,2104.0,2082.0,0.429,0.269,0.498,52.1,49.6,14.4,0.463,20.1,0.274,4.0,A-10,-1,False,False,False,1998
1757,St. Francis (NY),27,15,12,0.556,-5.54,-6.89,10.0,6.0,9.0,3.0,6.0,8.0,1929.0,1879.0,0.387,0.326,0.507,49.9,56.3,7.3,0.472,20.2,0.257,3.0,NEC,-1,False,False,False,1998
1758,St. John's (NY),32,22,10,0.688,11.28,6.76,13.0,5.0,12.0,5.0,9.0,3.0,2333.0,2181.0,0.457,0.241,0.512,54.6,56.6,9.7,0.477,18.8,0.293,2.0,Big East,7.0,True,False,False,1998
1759,Stanford,35,30,5,0.857,18.95,8.12,15.0,3.0,11.0,2.0,10.0,2.0,2807.0,2390.0,0.424,0.309,0.562,56.4,60.1,7.8,0.518,16.1,0.313,2.0,Pac-10,3.0,True,True,False,1998
1760,Stephen F. Austin,26,10,16,0.385,-14.37,-6.29,6.0,10.0,8.0,4.0,2.0,12.0,1859.0,2027.0,0.396,0.279,0.516,47.2,57.6,5.3,0.477,19.1,0.273,8.0,Southland,-1,False,False,False,1998
1761,Stetson,26,11,15,0.423,-12.28,-8.24,8.0,8.0,7.0,5.0,4.0,9.0,1815.0,1898.0,0.445,0.27,0.518,52.2,53.4,4.0,0.472,17.6,0.311,4.0,TAAC,-1,False,False,False,1998
1762,Syracuse,35,26,9,0.743,11.87,7.98,12.0,6.0,12.0,4.0,9.0,2.0,2481.0,2345.0,0.407,0.303,0.522,50.8,63.9,13.7,0.485,19.0,0.275,7.0,Big East,5.0,True,False,False,1998
1763,TCU,33,27,6,0.818,22.29,2.7,14.0,0.0,16.0,1.0,9.0,1.0,3209.0,2570.0,0.31,0.232,0.568,53.1,53.4,8.6,0.538,15.2,0.227,9.0,WAC,5.0,True,False,False,1998
1764,Temple,30,21,9,0.7,12.5,7.5,13.0,3.0,10.0,4.0,9.0,3.0,1970.0,1820.0,0.372,0.397,0.504,48.0,50.6,14.0,0.467,15.3,0.252,1.0,A-10,7.0,True,False,False,1998
1765,Tennessee,29,20,9,0.69,11.15,5.91,9.0,7.0,14.0,2.0,5.0,5.0,2200.0,2048.0,0.419,0.308,0.516,48.5,51.8,13.3,0.485,17.5,0.27,3.0,SEC,8.0,True,False,False,1998
1766,Tennessee State,29,13,16,0.448,-9.34,-5.71,8.0,10.0,6.0,7.0,6.0,8.0,2065.0,2051.0,0.292,0.381,0.503,49.4,51.5,8.6,0.476,18.9,0.193,7.0,OVC,-1,False,False,False,1998
1767,Tennessee Tech,30,9,21,0.3,-18.49,-6.38,5.0,13.0,4.0,9.0,4.0,10.0,1974.0,2269.0,0.273,0.244,0.473,48.3,53.9,10.5,0.452,21.0,0.163,8.0,OVC,-1,False,False,False,1998
1768,Tennessee-Martin,27,7,20,0.259,-16.71,-4.36,5.0,13.0,5.0,6.0,2.0,12.0,1709.0,2002.0,0.332,0.295,0.517,44.3,59.6,7.4,0.49,22.6,0.216,9.0,OVC,-1,False,False,False,1998
1769,Texas,31,14,17,0.452,4.53,6.47,6.0,10.0,9.0,5.0,3.0,9.0,2463.0,2523.0,0.364,0.357,0.523,49.6,50.8,13.9,0.49,18.0,0.248,10.0,Big 12,-1,False,False,False,1998
1770,Texas A&M,27,7,20,0.259,0.04,2.37,1.0,15.0,7.0,8.0,0.0,10.0,2026.0,2089.0,0.366,0.232,0.485,50.3,60.7,8.1,0.463,17.7,0.212,12.0,Big 12,-1,False,False,False,1998
1771,Texas Southern,31,15,16,0.484,-9.81,-7.33,12.0,4.0,7.0,3.0,5.0,7.0,2328.0,2357.0,0.401,0.359,0.506,48.8,57.8,4.0,0.466,17.7,0.273,1.0,SWAC,-1,False,False,False,1998
1772,Texas State,28,17,11,0.607,-5.66,-8.21,10.0,6.0,9.0,3.0,6.0,6.0,2038.0,1951.0,0.426,0.223,0.542,54.1,53.6,6.2,0.496,19.4,0.311,2.0,Southland,-1,False,False,False,1998
1773,Texas Tech,27,13,14,0.481,4.07,5.37,7.0,9.0,8.0,5.0,5.0,8.0,2088.0,2123.0,0.411,0.353,0.551,47.5,55.0,6.2,0.516,17.1,0.285,7.0,Big 12,-1,False,False,False,1998
1774,Texas-Rio Grande Valley,27,3,24,0.111,-18.45,0.96,3.0,15.0,3.0,8.0,0.0,15.0,1951.0,2549.0,0.302,0.367,0.489,41.0,54.9,2.8,0.464,20.0,0.192,10.0,Sun Belt,-1,False,False,False,1998
1775,The Citadel,28,15,13,0.536,-8.53,-9.03,6.0,8.0,9.0,5.0,5.0,7.0,1816.0,1741.0,0.405,0.237,0.522,51.2,58.7,10.7,0.48,18.6,0.284,8.0,Southern,-1,False,False,False,1998
1776,Toledo,27,15,12,0.556,4.55,0.2,10.0,8.0,10.0,3.0,5.0,9.0,1905.0,1749.0,0.45,0.342,0.521,53.5,56.3,6.2,0.476,19.5,0.313,10.0,MAC,-1,False,False,False,1998
1777,Towson,28,8,20,0.286,-5.98,-3.7,4.0,14.0,5.0,8.0,1.0,12.0,1784.0,1848.0,0.394,0.319,0.538,48.6,58.2,6.1,0.504,22.3,0.268,9.0,AEC,-1,False,False,False,1998
1778,Troy,27,7,20,0.259,-23.07,-9.87,5.0,11.0,5.0,6.0,1.0,12.0,1914.0,2201.0,0.279,0.379,0.457,48.7,45.2,8.2,0.425,17.6,0.185,11.0,TAAC,-1,False,False,False,1998
1779,Tulane,29,7,22,0.241,-3.41,2.38,2.0,14.0,5.0,9.0,1.0,10.0,1931.0,2099.0,0.378,0.284,0.464,50.5,53.9,12.8,0.43,20.9,0.234,12.0,CUSA,-1,False,False,False,1998
1780,Tulsa,31,19,12,0.613,6.41,3.18,9.0,5.0,11.0,4.0,6.0,6.0,2114.0,2013.0,0.405,0.375,0.535,52.5,64.3,12.8,0.499,22.5,0.277,11.0,WAC,-1,False,False,False,1998
1781,UAB,33,21,12,0.636,6.88,4.66,10.0,6.0,11.0,4.0,7.0,6.0,2482.0,2381.0,0.44,0.261,0.528,51.4,52.8,7.1,0.49,19.5,0.297,8.0,CUSA,-1,False,False,False,1998
1782,UC Irvine,27,9,18,0.333,-8.07,0.49,6.0,10.0,7.0,8.0,2.0,10.0,1681.0,1877.0,0.367,0.366,0.509,45.2,58.2,5.2,0.462,21.3,0.271,10.0,Big West,-1,False,False,False,1998
1783,UC Santa Barbara,26,7,19,0.269,-7.47,-0.31,4.0,12.0,5.0,9.0,2.0,10.0,1861.0,1977.0,0.347,0.253,0.535,52.0,53.3,5.8,0.501,20.7,0.243,12.0,Big West,-1,False,False,False,1998
1784,UCLA,33,24,9,0.727,13.03,10.99,12.0,6.0,14.0,2.0,7.0,5.0,2743.0,2654.0,0.452,0.244,0.561,50.2,53.2,7.8,0.532,18.4,0.3,3.0,Pac-10,6.0,True,False,False,1998
1785,UNC Asheville,28,19,9,0.679,-4.27,-5.95,11.0,1.0,12.0,0.0,7.0,7.0,2002.0,1872.0,0.472,0.232,0.53,52.5,55.4,14.7,0.497,20.7,0.304,1.0,Big South,-1,False,False,False,1998
1786,UNC Greensboro,28,9,19,0.321,-12.69,-4.45,6.0,9.0,6.0,7.0,2.0,11.0,1783.0,1986.0,0.326,0.242,0.504,51.7,54.0,5.5,0.468,20.8,0.229,6.0,Southern,-1,False,False,False,1998
1787,UNC Wilmington,31,20,11,0.645,0.4,-0.08,13.0,3.0,9.0,0.0,8.0,11.0,1920.0,1905.0,0.325,0.294,0.501,48.5,58.5,5.1,0.47,15.8,0.216,1.0,CAA,-1,False,False,False,1998
1788,UT Arlington,29,13,16,0.448,-11.35,-7.5,8.0,8.0,7.0,5.0,4.0,10.0,2078.0,2150.0,0.358,0.329,0.527,49.2,57.7,4.2,0.493,18.1,0.247,6.0,Southland,-1,False,False,False,1998
1789,Utah,34,30,4,0.882,17.08,4.9,12.0,2.0,13.0,0.0,10.0,3.0,2381.0,1959.0,0.478,0.278,0.576,57.8,56.1,9.3,0.532,18.0,0.349,1.0,WAC,3.0,True,True,False,1998
1790,Utah State,33,25,8,0.758,6.54,1.44,13.0,3.0,14.0,0.0,7.0,7.0,2375.0,2140.0,0.422,0.183,0.559,54.4,41.1,5.8,0.523,17.1,0.296,1.0,Big West,13.0,True,False,False,1998
1791,UTEP,26,12,14,0.462,0.57,2.99,3.0,11.0,10.0,6.0,2.0,7.0,1670.0,1710.0,0.416,0.293,0.494,52.0,54.0,9.3,0.456,16.5,0.271,7.0,WAC,-1,False,False,False,1998
1792,UTSA,27,16,11,0.593,-5.93,-9.77,10.0,6.0,8.0,4.0,7.0,6.0,2050.0,1953.0,0.426,0.311,0.532,49.9,55.4,10.0,0.508,18.7,0.263,3.0,Southland,-1,False,False,False,1998
1793,Valparaiso,33,23,10,0.697,1.76,-2.66,13.0,3.0,10.0,3.0,7.0,5.0,2440.0,2257.0,0.412,0.273,0.557,53.6,61.7,7.2,0.521,18.3,0.29,1.0,Mid-Cont,13.0,True,False,False,1998
1794,Vanderbilt,33,20,13,0.606,11.68,7.01,7.0,9.0,13.0,3.0,5.0,8.0,2470.0,2316.0,0.369,0.301,0.553,49.3,52.8,6.3,0.52,18.9,0.261,5.0,SEC,-1,False,False,False,1998
1795,Vermont,27,16,11,0.593,-2.67,-6.79,11.0,7.0,11.0,2.0,5.0,8.0,2005.0,1884.0,0.416,0.282,0.514,51.0,55.0,11.7,0.475,16.6,0.28,3.0,AEC,-1,False,False,False,1998
1796,Villanova,29,12,17,0.414,6.75,9.06,8.0,10.0,8.0,6.0,3.0,10.0,2025.0,2092.0,0.258,0.362,0.512,47.5,62.5,10.4,0.49,19.6,0.169,4.0,Big East,-1,False,False,False,1998
1797,Virginia,30,11,19,0.367,6.03,10.33,3.0,13.0,6.0,7.0,1.0,9.0,1972.0,2101.0,0.331,0.323,0.52,53.0,59.0,10.1,0.494,20.7,0.216,9.0,ACC,-1,False,False,False,1998
1798,Virginia Commonwealth,28,9,19,0.321,-5.01,-1.73,4.0,12.0,7.0,7.0,1.0,11.0,1787.0,1879.0,0.329,0.342,0.499,52.0,58.1,9.9,0.468,20.2,0.218,9.0,CAA,-1,False,False,False,1998
1800,Virginia Tech,27,10,17,0.37,3.21,4.66,5.0,11.0,8.0,6.0,2.0,7.0,1787.0,1826.0,0.323,0.275,0.512,51.2,52.2,11.6,0.481,19.0,0.218,10.0,A-10,-1,False,False,False,1998
1801,Wagner,29,13,16,0.448,-11.54,-7.33,7.0,9.0,8.0,4.0,2.0,11.0,2129.0,2215.0,0.357,0.258,0.494,47.7,59.4,7.4,0.465,19.7,0.225,6.0,NEC,-1,False,False,False,1998
1802,Wake Forest,30,16,14,0.533,9.62,10.36,7.0,9.0,12.0,6.0,3.0,6.0,1974.0,1996.0,0.403,0.388,0.52,50.3,46.2,8.9,0.478,18.1,0.282,4.0,ACC,-1,False,False,False,1998
1803,Washington,30,20,10,0.667,10.28,8.28,11.0,7.0,12.0,2.0,6.0,7.0,2359.0,2299.0,0.438,0.241,0.565,51.7,54.9,8.1,0.53,20.2,0.304,4.0,Pac-10,11.0,True,False,False,1998
1804,Washington State,29,10,19,0.345,4.98,7.79,3.0,15.0,5.0,6.0,4.0,9.0,2082.0,2087.0,0.433,0.262,0.529,51.9,51.4,7.8,0.49,21.8,0.296,10.0,Pac-10,-1,False,False,False,1998
1805,Weber State,27,14,13,0.519,-0.19,-1.1,12.0,4.0,9.0,2.0,4.0,9.0,1957.0,1925.0,0.342,0.308,0.533,52.6,55.2,3.6,0.497,18.3,0.244,2.0,Big Sky,-1,False,False,False,1998
1806,West Virginia,33,24,9,0.727,16.24,6.95,11.0,7.0,13.0,1.0,4.0,6.0,2647.0,2282.0,0.309,0.231,0.518,51.9,50.9,9.2,0.499,14.8,0.189,3.0,Big East,10.0,True,False,False,1998
1807,Western Carolina,27,12,15,0.444,-10.7,-6.36,6.0,9.0,8.0,4.0,3.0,9.0,1946.0,1979.0,0.29,0.276,0.504,46.2,58.9,3.9,0.47,16.4,0.208,4.0,Southern,-1,False,False,False,1998
1808,Western Illinois,27,16,11,0.593,-8.13,-6.69,11.0,5.0,11.0,1.0,4.0,8.0,1918.0,1896.0,0.367,0.289,0.522,52.2,63.0,4.9,0.49,17.6,0.247,4.0,Mid-Cont,-1,False,False,False,1998
1809,Western Kentucky,29,10,19,0.345,-5.28,-1.31,6.0,12.0,6.0,8.0,3.0,10.0,1905.0,2020.0,0.348,0.281,0.503,48.8,51.6,10.0,0.475,22.9,0.222,9.0,Sun Belt,-1,False,False,False,1998
1810,Western Michigan,29,21,8,0.724,10.28,1.9,14.0,4.0,11.0,2.0,8.0,4.0,2286.0,2043.0,0.376,0.3,0.57,46.8,55.4,6.0,0.532,17.6,0.28,8.0,MAC,11.0,True,False,False,1998
1811,Wichita State,31,16,15,0.516,0.95,1.89,11.0,7.0,10.0,5.0,5.0,6.0,1970.0,1999.0,0.416,0.376,0.472,48.7,57.8,5.5,0.436,17.6,0.26,3.0,MVC,-1,False,False,False,1998
1812,William & Mary,27,20,7,0.741,3.31,-4.0,13.0,3.0,12.0,1.0,7.0,5.0,1888.0,1668.0,0.403,0.352,0.53,49.7,60.4,10.7,0.5,17.4,0.263,2.0,CAA,-1,False,False,False,1998
1813,Winthrop,27,7,20,0.259,-20.09,-8.59,4.0,8.0,4.0,9.0,3.0,10.0,1711.0,1912.0,0.319,0.345,0.467,47.1,57.5,8.1,0.439,18.4,0.197,6.0,Big South,-1,False,False,False,1998
1814,Wisconsin,31,12,19,0.387,7.19,9.22,3.0,13.0,7.0,8.0,2.0,9.0,1877.0,1940.0,0.413,0.277,0.497,49.1,54.0,9.9,0.449,18.6,0.291,10.0,Big Ten,-1,False,False,False,1998
1815,Wofford,27,9,18,0.333,-16.06,-4.85,6.0,8.0,8.0,3.0,1.0,15.0,1746.0,1892.0,0.295,0.348,0.473,48.6,53.4,7.4,0.445,20.5,0.187,9.0,Southern,-1,False,False,False,1998
1816,Wright State,28,10,18,0.357,-4.35,1.51,3.0,11.0,6.0,7.0,3.0,10.0,1881.0,2009.0,0.403,0.221,0.503,50.4,49.0,6.5,0.466,22.1,0.266,7.0,MW Coll,-1,False,False,False,1998
1817,Wyoming,28,19,9,0.679,5.53,1.57,9.0,5.0,13.0,2.0,4.0,6.0,1786.0,1656.0,0.534,0.341,0.534,51.6,55.0,8.1,0.477,18.1,0.384,3.0,WAC,-1,False,False,False,1998
1818,Xavier,30,22,8,0.733,19.46,4.76,11.0,5.0,14.0,1.0,5.0,5.0,2506.0,2065.0,0.495,0.278,0.579,53.7,58.3,7.5,0.533,19.0,0.365,7.0,A-10,6.0,True,False,False,1998
